Title,Price,Stock,URL
JEQANG GAMING MOUSE PAD COLOR PRINTED JM-110,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/jeqang-gaming-mouse-pad-color-printed-jm-110/
ALCATROZ ASIC9 RGB FX MOUSE,"Rs:2,000.00Rs:2,300.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/alcatroz-asic9-rgb-fx-mouse/
ALCATROZ SILENT KB 1500 WIRED KEYBOARD,"Rs:2,000.00Rs:2,500.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/alcatroz-silent-kb-1500-wired-keyboard/
CON 404 – UGREEN 5M Cat 6 UTP NETWORK CABLE – NW102 – 11204 – 1 Year Warranty,"Rs:2,000.00Rs:3,500.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/con-404-ugreen-5m-cat-6-utp-network-cable-nw102-11204-1-year-warranty/
CON 407 – UGREEN 3M Cat 7 Round Braided NETWORK CABLE – NW150 – 80424 – 1 Year Warranty,"Rs:2,000.00Rs:2,500.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/con-407-ugreen-3m-cat-7-round-braided-network-cable-nw150-80424-1-year-warranty/
CON 408 – UGREEN 1.5M Cat8 Pure Copper Ethernet Round Braided OD 5.5mm Cable – NW153 – 80430 – 1 Year Warranty,"Rs:2,000.00Rs:2,500.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/con-408-ugreen-1-5m-cat8-pure-copper-ethernet-round-braided-od-5-5mm-cable-nw153-80430-1-year-warranty/
5 METER NETWORK CABLE,"Rs:2,000.00or 3 XRs:746.67with",In Stock,https://mdcomputers.lk/product/5-meter-network-cable/
CON 349-UGREEN 20 Cm 3.5mm Female to 2 Male Audio Cable with ABS Casing – 20898 (1 Year Warranty),"Rs:2,050.00or 3 XRs:765.33with",In Stock,https://mdcomputers.lk/product/con-349-ugreen-20-cm-3-5mm-female-to-2-male-audio-cable-with-abs-casing-20898-1-year-warranty/
KASPERSKY INTERNET SECURITY 2024 1-USER –  VIRUS GUARD,"Rs:2,100.00Rs:2,750.00or 3 XRs:784.00with",In Stock,https://mdcomputers.lk/product/kaspersky-internet-security-2023-1-user/
JEDEL  S-511 ADVANCED SOUND WIRED USB MINI SPEAKER,"Rs:2,100.00or 3 XRs:784.00with",In Stock,https://mdcomputers.lk/product/jedel-s-511-advanced-sound-wired-usb-mini-speaker/
